SAMPLE,YEAR,RW,LW,BI,EW,RWLOG,LWLOG,BILOG,EWLOG
G501,1909,0.76,0.30,70.72,0.46,-0.12,-0.52,1.85,-0.34
G511,1909,0.21,0.10,51.74,0.11,-0.68,-1.00,1.71,-0.96
B08,1935,1.66,0.59,75.91,1.08,0.22,-0.23,1.88,0.03
B14,1935,0.93,0.31,75.16,0.62,-0.03,-0.50,1.88,-0.21
B15,1935,1.12,0.34,76.00,0.78,0.05,-0.47,1.88,-0.11
B16,1935,1.03,0.29,68.02,0.74,0.01,-0.54,1.83,-0.13
B18,1935,0.93,0.28,64.86,0.65,-0.03,-0.55,1.81,-0.19
G114,1935,0.80,0.22,92.96,0.59,-0.10,-0.67,1.97,-0.23
G127,1935,0.70,0.24,80.63,0.46,-0.15,-0.62,1.91,-0.34
G128,1935,1.86,0.53,82.56,1.33,0.27,-0.28,1.92,0.12
G130,1935,0.50,0.12,64.36,0.38,-0.30,-0.92,1.81,-0.42
G201,1935,5.81,1.77,44.55,4.04,0.76,0.25,1.65,0.61
G202,1935,4.88,2.12,63.96,2.76,0.69,0.33,1.81,0.44
G204,1935,1.25,0.35,101.59,0.90,0.10,-0.46,2.01,-0.04
G205,1935,1.57,0.62,78.22,0.95,0.20,-0.21,1.89,-0.02
G207,1935,0.68,0.32,57.79,0.36,-0.17,-0.49,1.76,-0.44
G208,1935,1.22,0.26,69.62,0.96,0.09,-0.59,1.84,-0.02
G212,1935,0.82,0.21,79.12,0.60,-0.09,-0.67,1.90,-0.22
G213,1935,1.04,0.24,71.61,0.80,0.02,-0.62,1.85,-0.10
G214,1935,0.84,0.21,71.38,0.63,-0.08,-0.68,1.85,-0.20
G216,1935,2.39,0.52,70.70,1.87,0.38,-0.28,1.85,0.27
G217,1935,1.00,0.24,74.07,0.77,0.00,-0.63,1.87,-0.12
G221,1935,1.39,0.31,91.40,1.08,0.14,-0.51,1.96,0.03
G301,1935,2.17,0.54,93.85,1.63,0.34,-0.26,1.97,0.21
G302,1935,2.75,0.74,99.00,2.01,0.44,-0.13,2.00,0.30
G306,1935,1.24,0.26,89.57,0.99,0.09,-0.59,1.95,-0.01
G311,1935,2.09,0.57,95.50,1.52,0.32,-0.25,1.98,0.18
G313,1935,1.21,0.22,91.02,0.99,0.08,-0.65,1.96,0.00
G315,1935,1.31,0.36,89.82,0.95,0.12,-0.45,1.95,-0.02
G319,1935,0.62,0.29,82.44,0.33,-0.21,-0.54,1.92,-0.48
G321,1935,0.89,0.25,94.90,0.64,-0.05,-0.60,1.98,-0.19
G431,1935,1.00,0.32,90.93,0.67,0.00,-0.49,1.96,-0.17
G433,1935,0.99,0.32,78.52,0.67,0.00,-0.49,1.89,-0.18
G434,1935,0.95,0.31,84.28,0.64,-0.02,-0.51,1.93,-0.19
G436,1935,0.77,0.17,72.21,0.60,-0.12,-0.77,1.86,-0.23
G437,1935,0.79,0.20,60.92,0.59,-0.10,-0.69,1.78,-0.23
G438,1935,0.59,0.17,102.37,0.42,-0.23,-0.77,2.01,-0.38
G439,1935,0.92,0.22,75.88,0.70,-0.04,-0.66,1.88,-0.15
G440,1935,1.01,0.30,79.36,0.71,0.00,-0.52,1.90,-0.15
G501,1935,1.84,0.48,73.56,1.36,0.26,-0.32,1.87,0.13
