SAMPLE,YEAR,RW,LW,BI,EW,RWLOG,LWLOG,BILOG,EWLOG
G439,1965,0.54,0.16,63.50,0.38,-0.27,-0.80,1.80,-0.42
G440,1965,0.14,0.07,51.45,0.07,-0.85,-1.15,1.71,-1.15
B01,1966,0.29,0.07,46.76,0.22,-0.54,-1.15,1.67,-0.66
B02,1966,0.11,0.05,22.88,0.06,-0.95,-1.30,1.36,-1.21
B03,1966,0.38,0.10,63.74,0.28,-0.42,-0.99,1.80,-0.56
B04,1966,0.39,0.13,65.81,0.26,-0.41,-0.89,1.82,-0.59
B05,1966,0.21,0.08,52.43,0.13,-0.68,-1.12,1.72,-0.88
B06,1966,0.16,0.04,29.29,0.12,-0.80,-1.40,1.47,-0.92
B07,1966,0.31,0.12,54.78,0.19,-0.51,-0.92,1.74,-0.72
B08,1966,0.25,0.14,56.15,0.11,-0.60,-0.87,1.75,-0.94
B09,1966,0.20,0.08,66.11,0.12,-0.69,-1.09,1.82,-0.91
B10,1966,0.48,0.14,61.61,0.34,-0.32,-0.85,1.79,-0.47
B11,1966,0.26,0.08,63.43,0.18,-0.59,-1.10,1.80,-0.74
B12,1966,0.21,0.11,29.10,0.10,-0.67,-0.95,1.46,-0.99
B13,1966,0.25,0.06,61.00,0.19,-0.60,-1.20,1.79,-0.72
B14,1966,0.38,0.11,43.23,0.26,-0.43,-0.95,1.64,-0.58
B15,1966,0.18,0.05,21.49,0.13,-0.74,-1.29,1.33,-0.88
B16,1966,0.25,0.07,47.11,0.18,-0.60,-1.15,1.67,-0.74
B18,1966,0.42,0.14,54.99,0.29,-0.37,-0.86,1.74,-0.55
G124,1966,0.17,0.06,26.79,0.11,-0.77,-1.24,1.43,-0.95
G204,1966,0.58,0.16,89.10,0.42,-0.24,-0.79,1.95,-0.38
G205,1966,0.71,0.25,85.27,0.46,-0.15,-0.60,1.93,-0.34
G207,1966,1.56,0.43,70.39,1.13,0.19,-0.37,1.85,0.05
G212,1966,0.28,0.09,53.80,0.19,-0.55,-1.04,1.73,-0.72
G213,1966,0.53,0.09,53.98,0.44,-0.28,-1.05,1.73,-0.36
G214,1966,0.27,0.09,60.42,0.18,-0.57,-1.05,1.78,-0.74
G217,1966,0.41,0.11,52.61,0.30,-0.39,-0.95,1.72,-0.52
G301,1966,2.44,0.56,81.87,1.88,0.39,-0.25,1.91,0.27
G306,1966,0.81,0.19,70.08,0.62,-0.09,-0.72,1.85,-0.21
G319,1966,0.41,0.15,62.55,0.26,-0.39,-0.82,1.80,-0.58
G321,1966,1.38,0.50,76.98,0.88,0.14,-0.30,1.89,-0.06
G434,1966,0.58,0.20,73.00,0.38,-0.24,-0.70,1.86,-0.42
G436,1966,0.80,0.22,73.34,0.58,-0.10,-0.66,1.87,-0.24
G438,1966,0.34,0.08,36.10,0.26,-0.47,-1.09,1.56,-0.59
G439,1966,0.63,0.17,71.13,0.46,-0.20,-0.77,1.85,-0.34
G440,1966,0.26,0.08,52.77,0.18,-0.59,-1.10,1.72,-0.74
